29921000,710000,710000,710000,710000,5000,0
29926000,709800,709800,709500,709500,200,0
29931000,709200,709500,709200,709500,566,0
29946000,709500,709500,709500,709500,700,0
29949000,709200,709200,709200,709200,500,0
29950000,709200,709200,709200,709200,134,0
29957000,708900,708900,708900,708900,100,0
29975000,708700,708700,708500,708500,900,0
29976000,708400,708400,708400,708400,500,0
29977000,708400,708400,708400,708400,500,0
29994000,708200,708200,708200,708200,500,0
29997000,708100,708200,708000,708000,900,0
29998000,708000,708000,708000,708000,500,0
30004000,708000,708000,708000,708000,400,0
30009000,707800,707800,707300,707300,298,0
30014000,707200,707200,707200,707200,1000,0
30015000,707200,707200,707200,707200,400,0
30016000,707200,707200,707200,707200,600,0
30025000,707000,707000,707000,707000,200,0
30026000,707000,707000,707000,707000,100,0
30031000,707000,707000,707000,707000,100,0
30032000,707000,707000,706500,706500,400,0
30038000,707000,707000,707000,707000,100,0
30039000,706600,706600,706500,706500,300,0
30040000,707000,707000,707000,707000,200,0
30057000,707000,707000,707000,707000,100,0
30059000,707500,707500,707500,707500,100,0
30064000,708000,708000,707700,707700,300,0
30065000,707700,708000,707700,708000,500,0
30066000,708000,708000,708000,708000,350,0
30089000,708000,708000,708000,708000,300,0
30110000,708000,708000,708000,708000,500,0
30111000,708000,708000,708000,708000,600,0
30117000,708000,708000,708000,708000,115,0
30135000,708000,708000,708000,708000,1485,0
30155000,707500,707500,707500,707500,434,0
30193000,707500,707500,707500,707500,300,0
30198000,707800,707800,707800,707800,1000,0
30207000,708000,708000,708000,708000,1290,0
30241000,708000,708000,708000,708000,100,0
30244000,708400,708500,708400,708500,1444,0
30251000,708900,708900,708900,708900,100,0
30256000,708500,708500,708500,708500,100,0
30266000,708500,708500,708500,708500,1700,0
30267000,708500,708500,708500,708500,300,0
30273000,708500,708500,708500,708500,156,0
30275000,708500,708500,708500,708500,300,0
30281000,708500,708500,708500,708500,456,0
30294000,708100,708100,708100,708100,100,0
30300000,708000,708000,708000,708000,300,0
30303000,708100,708100,708100,708100,200,0
30309000,708500,708500,708500,708500,344,0
30310000,709000,709900,709000,709900,3500,0
30312000,709900,709900,709900,709900,200,0
30314000,709900,709900,709900,709900,300,0
30316000,709100,709100,708500,708500,300,0
30317000,708500,708500,708500,708500,1190,0
30318000,709800,709800,709800,709800,100,0
30319000,709800,709900,709600,709900,1000,0
30330000,709100,709100,709100,709100,100,0
30334000,709200,709200,708800,708800,300,0
30342000,709400,709400,709400,709400,100,0
30343000,709900,709900,709900,709900,900,0
30370000,709800,709800,709800,709800,185,0
30385000,709100,709100,709100,709100,100,0
30410000,709500,709500,709500,709500,500,0
30432000,709200,709200,709200,709200,100,0
30437000,709500,709500,709500,709500,200,0
30448000,709500,709500,709500,709500,800,0
30451000,709500,709500,709500,709500,1200,0
30454000,709500,709500,709500,709500,1000,0
30458000,709500,709500,709500,709500,200,0
30459000,709500,709500,709500,709500,298,0
30466000,709500,709500,709500,709500,500,0
30471000,709500,710000,709500,710000,2898,0
30474000,709500,709500,709500,709500,602,0
30497000,709800,710000,709800,710000,1250,0
30499000,710000,710000,710000,710000,570,0
30507000,710000,710000,710000,710000,1400,0
30508000,710000,710000,709700,710000,1100,0
30563000,709500,709500,709500,709500,200,0
30593000,709400,709400,709400,709400,450,0
30604000,709500,709500,709000,709000,1850,0
30614000,709500,709500,709500,709500,590,0
30625000,709500,709500,709500,709500,390,0
30626000,709500,709500,709500,709500,600,0
30646000,709500,709500,709500,709500,240,0
30647000,709500,709500,709500,709500,200,0
30658000,709900,709900,709900,709900,640,0
30669000,709800,709900,709800,709800,960,0
30682000,710000,710000,710000,710000,100,0
30683000,710000,710000,710000,710000,1000,0
30692000,710000,710000,710000,710000,1100,0
30696000,710000,710000,710000,710000,100,0
30709000,710000,710700,710000,710700,2129,0
30710000,710700,710700,710700,710700,100,0
30711000,710700,710700,710700,710700,200,0
30714000,710800,710800,710800,710800,300,0
30715000,711000,711400,710800,711400,3200,0
30717000,711400,711400,711400,711400,200,0
30724000,711400,711400,711400,711400,100,0
30727000,712200,712300,712200,712300,1000,0
30731000,711600,711600,711600,711600,100,0
30734000,712000,712000,712000,712000,300,0
30738000,712100,712100,712100,712100,400,0
30741000,711900,712100,711900,712100,400,0
30742000,711800,711800,711800,711800,100,0
30743000,711900,711900,711900,711900,100,0
30745000,712000,712000,712000,712000,1400,0
30749000,712000,712000,712000,712000,200,0
30750000,712400,712400,712400,712400,1250,0
30757000,712300,712300,712300,712300,1000,0
30758000,712000,712300,712000,712300,770,0
30759000,712300,712300,712300,712300,200,0
30760000,712500,712500,712500,712500,100,0
30762000,712300,712300,712300,712300,1000,0
30763000,712500,712500,712300,712500,2430,0
30764000,713000,713000,713000,713000,100,0
